"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"2018-01-01 00:00:00",13930,14012,13782,13820.5,286.284221,"2018-01-01 00:59:59",3977114.73930386,3222,114.28877,1588090.95060819,"BTCUSDT"
"2018-01-01 01:00:00",13829.97,13829.99,13645.03,13716.36,246.453106,"2018-01-01 01:59:59",3383741.49412997,3730,153.82587,2112471.90332416,"BTCUSDT"
"2018-01-01 02:00:00",13715.65,13715.65,13400.01,13529.01,443.356199,"2018-01-01 02:59:59",5993909.836038,5228,228.521921,3090541.10576949,"BTCUSDT"
"2018-01-01 03:00:00",13528.99,13595.89,13155.38,13203.06,383.697006,"2018-01-01 03:59:59",5154521.55513544,4534,180.840403,2430449.49295672,"BTCUSDT"
"2018-01-01 04:00:00",13203,13418.43,13200,13330.18,429.064572,"2018-01-01 04:59:59",5710192.01852959,4887,192.237935,2558504.65764531,"BTCUSDT"
"2018-01-01 05:00:00",13330.26,13611.27,13290,13410.03,420.08703,"2018-01-01 05:59:59",5657448.45730419,4789,137.918407,1858041.25745743,"BTCUSDT"
"2018-01-01 06:00:00",13434.98,13623.29,13322.15,13601.01,340.807329,"2018-01-01 06:59:59",4588046.99615741,4563,172.957635,2328057.92021612,"BTCUSDT"
"2018-01-01 07:00:00",13615.2,13699,13526.5,13558.99,404.229046,"2018-01-01 07:59:59",5499054.93688368,5086,142.331058,1935710.15985339,"BTCUSDT"
"2018-01-01 08:00:00",13539,13800,13510,13780.41,264.989684,"2018-01-01 08:59:59",3613407.65944487,4072,126.0775,1718752.71521564,"BTCUSDT"
"2018-01-01 09:00:00",13780,13818.55,13555.02,13570.35,292.188777,"2018-01-01 09:59:59",4002026.1321021,4340,147.150029,2016274.76674062,"BTCUSDT"
"2018-01-01 10:00:00",13569.98,13735.24,13400,13499.99,271.813553,"2018-01-01 10:59:59",3681944.39646011,3733,122.809696,1664736.99401741,"BTCUSDT"
"2018-01-01 11:00:00",13499.97,13670,13459.11,13616.99,213.095829,"2018-01-01 11:59:59",2893104.89463125,3128,96.470199,1309920.92142668,"BTCUSDT"
"2018-01-01 12:00:00",13632,13657.92,13497.98,13570.01,169.512196,"2018-01-01 12:59:59",2298368.72853242,2769,68.490957,928574.06347967,"BTCUSDT"
"2018-01-01 13:00:00",13573,13589.89,13001.13,13220.56,665.334353,"2018-01-01 13:59:59",8777790.17711175,7570,294.897441,3888876.92051748,"BTCUSDT"
"2018-01-01 14:00:00",13220.56,13300,13056.23,13172.42,260.492708,"2018-01-01 14:59:59",3437452.78770231,3618,115.16364,1519720.41601646,"BTCUSDT"
"2018-01-01 15:00:00",13150.05,13200.41,12815.7,13017,451.901126,"2018-01-01 15:59:59",5869105.27380765,5719,248.601776,3228414.47167738,"BTCUSDT"
"2018-01-01 16:00:00",12999.71,13245,12750,13211.39,692.467362,"2018-01-01 16:59:59",8951402.50203648,7132,299.429608,3872687.15593985,"BTCUSDT"
"2018-01-01 17:00:00",13211.39,13330,13120.38,13247,427.071957,"2018-01-01 17:59:59",5654630.47840924,4888,167.119723,2212216.06892992,"BTCUSDT"
"2018-01-01 18:00:00",13247,13247.08,12966.42,13018,367.393566,"2018-01-01 18:59:59",4818677.75685736,4004,184.967309,2426692.44094398,"BTCUSDT"
"2018-01-01 19:00:00",13018,13198.98,13000,13022,228.572028,"2018-01-01 19:59:59",2993656.96884031,2978,119.944127,1570736.84184925,"BTCUSDT"
