"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"2018-01-01 02:00:00",13715.65,13715.65,13155.38,13558.99,2421.241182,"2018-01-01 07:59:59",32603173.8000483,29087,1054.807359,14201304.5938985,"BTCUSDT"
"2018-01-01 08:00:00",13539,13818.55,13001.13,13220.56,1876.934392,"2018-01-01 13:59:59",25266641.9882825,25612,855.895822,11527136.3813975,"BTCUSDT"
"2018-01-01 14:00:00",13220.56,13330,12750,13022,2427.898747,"2018-01-01 19:59:59",31724925.7676533,28339,1135.226183,14830467.3953568,"BTCUSDT"
"2018-01-01 20:00:00",13007.87,13599.7,12940,13380,1883.841523,"2018-01-02 01:59:59",25205005.8859864,22557,916.009582,12250839.0697276,"BTCUSDT"
"2018-01-02 02:00:00",13382.16,13850,12890.02,13166.95,3957.954564,"2018-01-02 07:59:59",53029007.0861233,42047,1932.813057,25882040.3778503,"BTCUSDT"
"2018-01-02 08:00:00",13166.95,13617.28,13041.5,13490,3984.077089,"2018-01-02 13:59:59",53301514.0800617,27592,2410.050027,32247430.837351,"BTCUSDT"
"2018-01-02 14:00:00",13490,13894.86,13450.46,13780,5204.237369,"2018-01-02 19:59:59",71205113.5544114,44166,3107.652172,42516166.321086,"BTCUSDT"
"2018-01-02 20:00:00",13789.98,15473.49,13755.43,14675.11,6931.823089,"2018-01-03 01:59:59",102181472.713123,63923,3895.811483,57434451.1470295,"BTCUSDT"
"2018-01-03 02:00:00",14690,15299.99,14660,14988,4945.238109,"2018-01-03 07:59:59",73823112.0069334,39733,2919.048257,43585666.9583963,"BTCUSDT"
"2018-01-03 08:00:00",14980.89,15307.56,14150,14730.05,5773.10049,"2018-01-03 13:59:59",85370047.3140125,53071,3239.008932,47948521.756091,"BTCUSDT"
"2018-01-03 14:00:00",14764.73,15130,14400.04,14800,2949.681177,"2018-01-03 19:59:59",43797771.7127033,38738,1511.025679,22425334.1696704,"BTCUSDT"
"2018-01-03 20:00:00",14800,14990,14671,14919.51,2237.647863,"2018-01-04 01:59:59",33125937.302541,31245,1325.870698,19627810.3611903,"BTCUSDT"
"2018-01-04 02:00:00",14919.51,15280,14649.99,14875.1,3951.379597,"2018-01-04 07:59:59",59013222.141295,33148,2506.081245,37393153.1923321,"BTCUSDT"
"2018-01-04 08:00:00",14890,15100,13918.04,14539.97,6290.608542,"2018-01-04 13:59:59",91411567.6935309,48940,3659.812622,53238220.9021583,"BTCUSDT"
"2018-01-04 14:00:00",14539.99,14653.4,14181.88,14648.89,5956.190081,"2018-01-04 19:59:59",86088750.9693263,48105,3393.982048,49077774.2063314,"BTCUSDT"
"2018-01-04 20:00:00",14648,15100.08,14601,15059.54,5131.471354,"2018-01-05 01:59:59",76268042.9941556,40117,3120.937036,46407644.7107675,"BTCUSDT"
"2018-01-05 02:00:00",15059.56,15200,14600,15000,5435.654299,"2018-01-05 07:59:59",81392780.4975554,42692,3262.399629,48866262.5270462,"BTCUSDT"
"2018-01-05 08:00:00",14999,16350,14700,16090.69,5859.143932,"2018-01-05 13:59:59",91063125.6836415,53577,3337.826123,51849426.055172,"BTCUSDT"
"2018-01-05 14:00:00",16090.7,17118.13,15750,16650,5725.994674,"2018-01-05 19:59:59",92670026.8851696,50750,3322.896742,53814528.7785077,"BTCUSDT"
"2018-01-05 20:00:00",16650,17176.24,16310,16960.39,6230.69822,"2018-01-06 01:59:59",104196023.420471,45950,3423.499799,57299683.3182563,"BTCUSDT"
"2018-01-06 02:00:00",16960.39,17099.99,16288,16642.84,5750.172159,"2018-01-06 07:59:59",96062091.4163822,46355,3371.413583,56370825.3837532,"BTCUSDT"
"2018-01-06 08:00:00",16637.82,16750.01,16340,16529.89,3231.526776,"2018-01-06 13:59:59",53452250.7290128,31015,1851.996483,30629478.3322366,"BTCUSDT"
